,Name,Sponsor,City,State,Area,ZIP,Hardiness,address,lon,lat
230,Newton Arboretum and Botanical Gardens,NA,Newton,IA,3,50208,5b,"Newton ,  IA",-93.0573533,41.7033177
231,Sawtooth Botanical Garden,NA,Ketchum,ID,5,83340,5a,"Ketchum ,  ID",-114.3636619,43.6807402
232,University of Idaho Arboretum and Botanical Garden,University of Idaho,Moscow,ID,63,83843,6a,"Moscow ,  ID",-117.000165,46.7323875
233,Idaho State Arboretum,Idaho State University,Pocatello,ID,NA,83201,6a,"Pocatello ,  ID",-112.4506191,42.8621042
234,Idaho Botanical Garden,NA,Boise,ID,50,83701,7a,"Boise ,  ID",-116.2023137,43.6150186
235,Arboretum Park,NA,Eagle,ID,85,83616,7a,"Eagle ,  ID",-116.3540138,43.6954424
236,Don Opel Arboretum,Highland Community College,Freeport,IL,140,61032,5a,"Freeport ,  IL",-89.6212271,42.2966861
237,Wilder Park Conservatory,NA,Elmhurst,IL,6,60126,5b,"Elmhurst ,  IL",-87.9403418,41.8994744
238,Ladd Arboretum,NA,Evanston,IL,23,60201,5b,"Evanston ,  IL",-87.6876969,42.0450722
239,Standish Park Arboretum,NA,Galesburg,IL,3.3,61401,5b,"Galesburg ,  IL",-90.3712395,40.9478158
240,Chicago Botanic Garden,NA,Glencoe,IL,385,60022,5b,"Glencoe ,  IL",-87.7581188,42.1350268
241,Morton Arboretum,NA,Lisle,IL,1700,60532,5b,"Lisle ,  IL",-88.0747875,41.801141
242,Lilacia Park,NA,Lombard,IL,8.5,60148,5b,"Lombard ,  IL",-88.0078435,41.8800296
243,Mabery Gelvin Botanical Garden,NA,Mahomet,IL,8,61853,5b,"Mahomet ,  IL",-88.4042234,40.1953106
244,Fell Arboretum,Illinois State University,Normal,IL,490,61761,5b,"Normal ,  IL",-88.9906312,40.5142026
245,George L. Luthy Memorial Botanical Garden,NA,Peoria,IL,4.5,61601,5b,"Peoria ,  IL",-89.5889864,40.6936488
246,Starhill Forest Arboretum,NA,Petersburg,IL,50,62675,5b,"Petersburg ,  IL",-89.8481652,40.0117151
247,Longview Park Conservatory and Gardens,NA,Rock Island,IL,39,61201,5b,"Rock Island ,  IL",-90.5787476,41.5094771
248,Quad City Botanical Center,NA,Rock Island,IL,NA,61201,5b,"Rock Island ,  IL",-90.5787476,41.5094771
249,Anderson Japanese Gardens,NA,Rockford,IL,12,61101,5b,"Rockford ,  IL",-89.0939952,42.2711311
250,Heritage Gardens,Midway Village Museum,Rockford,IL,10,61101,5b,"Rockford ,  IL",-89.0939952,42.2711311
251,Klehm Arboretum and Botanic Garden,NA,Rockford,IL,155,61101,5b,"Rockford ,  IL",-89.0939952,42.2711311
252,La Paloma Gardens,NA,Rockford,IL,5,61101,5b,"Rockford ,  IL",-89.0939952,42.2711311
253,Nicholas Conservatory and Gardens,NA,Rockford,IL,NA,61101,5b,"Rockford ,  IL",-89.0939952,42.2711311
